"id" "task" "block" "RT" "Correct"
1 1 1 583 1
1 1 1 1026 1
1 1 1 579 1
1 1 1 526 1
1 1 1 806 1
1 1 1 609 1
1 1 1 618 1
1 1 1 552 1
1 1 1 587 1
1 1 1 518 1
1 1 1 488 1
1 1 1 606 1
1 1 1 461 0
1 1 1 796 1
1 1 2 720 1
1 1 2 712 1
1 1 2 615 1
1 1 2 536 1
1 1 2 647 1
1 1 2 553 1
1 1 2 682 1
1 1 2 639 1
1 1 2 734 1
1 1 2 559 1
1 1 2 673 1
1 1 2 678 1
1 1 2 600 1
1 1 2 548 1
1 1 3 578 1
1 1 3 489 1
1 1 3 678 1
1 1 3 651 1
1 1 3 684 1
1 1 3 768 1
1 1 3 677 1
1 1 3 587 1
1 1 3 551 1
1 1 3 706 1
1 1 3 591 1
1 1 3 616 1
1 1 3 613 1
1 1 3 827 1
1 1 4 774 1
1 1 4 618 1
1 1 4 617 1
1 1 4 797 1
1 1 4 555 1
1 1 4 590 1
1 1 4 646 1
1 1 4 709 1
1 1 4 611 1
1 1 4 773 1
1 1 4 553 1
1 1 4 527 1
1 1 4 714 1
1 1 4 616 0
1 1 5 2291 1
1 1 5 708 1
1 1 5 671 1
1 1 5 519 1
1 1 5 614 1
1 1 5 673 1
1 1 5 584 1
1 1 5 668 1
1 1 5 639 1
1 1 5 450 1
1 1 5 580 1
1 1 5 1271 1
1 1 5 550 1
1 1 5 1018 1
1 2 1 2229 1
1 2 1 933 1
1 2 1 1517 1
1 2 1 995 1
1 2 1 1369 1
1 2 1 2105 1
1 2 1 836 1
1 2 1 1247 1
1 2 1 708 1
1 2 1 1961 1
1 2 1 706 1
1 2 1 1181 1
1 2 1 614 1
1 2 1 768 1
1 2 2 1867 1
1 2 2 770 0
1 2 2 803 1
1 2 2 1680 1
1 2 2 1461 1
1 2 2 2301 1
1 2 2 1607 1
1 2 2 646 1
1 2 2 1269 1
1 2 2 1305 1
1 2 2 897 1
1 2 2 745 1
1 2 2 868 1
1 2 2 1364 1
1 2 3 1493 1
1 2 3 1047 1
1 2 3 1210 1
1 2 3 3543 0
1 2 3 523 1
1 2 3 1487 1
1 2 3 1301 1
1 2 3 581 1
1 2 3 1397 1
1 2 3 2293 1
1 2 3 1051 0
1 2 3 1045 1
1 2 3 1114 1
1 2 3 866 1
1 2 4 1271 1
1 2 4 1076 1
1 2 4 650 1
1 2 4 1244 1
1 2 4 1046 1
1 2 4 835 1
1 2 4 581 1
1 2 4 1242 1
1 2 4 652 1
1 2 4 1232 1
1 2 4 3257 0
1 2 4 866 1
1 2 4 1032 1
1 2 4 556 1
1 2 5 808 1
1 2 5 893 1
1 2 5 1145 1
1 2 5 622 0
1 2 5 898 1
1 2 5 714 1
1 2 5 522 1
1 2 5 551 1
1 2 5 492 1
1 2 5 550 1
1 2 5 492 1
1 2 5 458 1
1 2 5 584 1
1 2 5 579 1
1 3 1 1894 1
1 3 1 801 1
1 3 1 961 1
1 3 1 1084 1
1 3 1 831 1
1 3 1 2365 0
1 3 1 651 1
1 3 1 683 1
1 3 1 861 1
1 3 1 1576 1
1 3 1 1576 1
1 3 1 706 1
1 3 1 746 1
1 3 1 1522 1
1 3 2 809 1
1 3 2 583 1
1 3 2 684 1
1 3 2 641 1
1 3 2 1668 1
1 3 2 2615 1
1 3 2 715 1
1 3 2 959 1
1 3 2 955 1
1 3 2 2893 1
1 3 2 828 1
1 3 2 766 1
1 3 2 1109 1
1 3 2 893 1
1 3 3 864 1
1 3 3 613 1
1 3 3 860 1
1 3 3 828 1
1 3 3 619 1
1 3 3 1332 1
1 3 3 1519 1
1 3 3 672 1
1 3 3 1050 1
1 3 3 623 1
1 3 3 930 1
1 3 3 862 1
1 3 3 612 1
1 3 3 778 1
1 3 4 734 1
1 3 4 1058 1
1 3 4 647 1
1 3 4 709 1
1 3 4 672 1
1 3 4 833 1
1 3 4 1057 1
1 3 4 657 1
1 3 4 1361 1
1 3 4 711 1
1 3 4 580 1
1 3 4 524 1
1 3 4 494 1
1 3 4 1425 1
1 3 5 709 1
1 3 5 455 1
1 3 5 493 1
1 3 5 707 1
1 3 5 497 1
1 3 5 494 1
1 3 5 678 0
1 3 5 1332 1
1 3 5 1146 1
1 3 5 555 1
1 3 5 964 1
1 3 5 681 1
1 3 5 467 1
1 3 5 554 1
1 4 1 559 1
1 4 1 615 1
1 4 1 571 1
1 4 1 628 1
1 4 1 612 1
1 4 1 1308 1
1 4 1 494 1
1 4 1 552 1
1 4 1 557 1
1 4 1 559 1
1 4 1 456 1
1 4 1 432 1
1 4 1 525 1
1 4 1 526 1
1 4 2 497 1
1 4 2 462 1
1 4 2 638 1
1 4 2 653 1
1 4 2 437 1
1 4 2 830 1
1 4 2 870 1
1 4 2 943 1
1 4 2 515 1
1 4 2 435 1
1 4 2 424 1
1 4 2 644 1
1 4 2 645 1
1 4 2 616 1
1 4 3 1016 1
1 4 3 584 1
1 4 3 872 1
1 4 3 529 1
1 4 3 497 1
1 4 3 525 1
1 4 3 649 1
1 4 3 619 1
1 4 3 524 1
1 4 3 523 0
1 4 3 1114 1
1 4 3 524 1
1 4 3 1303 1
1 4 3 458 1
1 4 4 529 1
1 4 4 374 1
1 4 4 369 1
1 4 4 519 0
1 4 4 675 1
1 4 4 929 1
1 4 4 921 1
1 4 4 1127 1
1 4 4 552 1
1 4 4 588 1
1 4 4 675 1
1 4 4 555 1
1 4 4 933 1
1 4 4 1050 1
1 4 5 1003 1
1 4 5 440 1
1 4 5 707 1
1 4 5 455 1
1 4 5 585 1
1 4 5 518 1
1 4 5 611 1
1 4 5 633 1
1 4 5 584 1
1 4 5 797 1
1 4 5 522 1
1 4 5 491 1
1 4 5 518 1
1 4 5 829 1
1 5 1 464 1
1 5 1 816 1
1 5 1 492 1
1 5 1 395 1
1 5 1 867 1
1 5 1 487 1
1 5 1 410 1
1 5 1 1102 1
1 5 1 694 1
1 5 1 1014 1
1 5 1 509 1
1 5 1 577 1
1 5 1 619 1
1 5 1 491 1
1 5 2 370 1
1 5 2 652 1
1 5 2 424 1
1 5 2 1440 1
1 5 2 643 1
1 5 2 419 1
1 5 2 1211 1
1 5 2 472 1
1 5 2 466 1
1 5 2 463 1
1 5 2 496 1
1 5 2 535 1
1 5 2 706 1
1 5 2 675 1
1 5 3 315 1
1 5 3 396 1
1 5 3 317 1
1 5 3 526 1
1 5 3 318 1
1 5 3 446 1
1 5 3 327 1
1 5 3 625 1
1 5 3 485 1
1 5 3 482 1
1 5 3 331 1
1 5 3 630 1
1 5 3 377 1
1 5 3 493 1
1 5 4 374 1
1 5 4 451 1
1 5 4 756 1
1 5 4 518 0
1 5 4 963 1
1 5 4 424 1
1 5 4 368 1
1 5 4 584 0
1 5 4 388 0
1 5 4 2535 1
1 5 4 616 1
1 5 4 524 1
1 5 4 600 1
1 5 4 535 1
1 5 5 447 1
1 5 5 482 1
1 5 5 513 1
1 5 5 526 1
1 5 5 799 1
1 5 5 660 1
1 5 5 422 1
1 5 5 401 1
1 5 5 410 1
1 5 5 446 1
1 5 5 431 1
1 5 5 492 1
1 5 5 366 0
1 5 5 504 1
1 6 1 470 1
1 6 1 478 1
1 6 1 625 1
1 6 1 545 1
1 6 1 468 1
1 6 1 640 1
1 6 1 417 1
1 6 1 443 1
1 6 1 357 1
1 6 1 446 1
1 6 1 327 1
1 6 1 316 1
1 6 1 561 1
1 6 1 445 1
1 6 2 524 1
1 6 2 425 1
1 6 2 463 1
1 6 2 434 1
1 6 2 426 1
1 6 2 482 1
1 6 2 449 1
1 6 2 426 1
1 6 2 484 1
1 6 2 339 1
1 6 2 384 1
1 6 2 352 1
1 6 2 509 1
1 6 2 346 0
1 6 3 385 1
1 6 3 405 1
1 6 3 362 1
1 6 3 322 1
1 6 3 453 1
1 6 3 368 1
1 6 3 471 1
1 6 3 384 0
1 6 3 603 1
1 6 3 913 1
1 6 3 403 1
1 6 3 426 1
1 6 3 370 1
1 6 3 514 1
1 6 4 652 1
1 6 4 761 1
1 6 4 468 1
1 6 4 785 1
1 6 4 787 1
1 6 4 565 1
1 6 4 562 1
1 6 4 567 1
1 6 4 891 1
1 6 4 618 0
1 6 4 1291 1
1 6 4 613 1
1 6 4 753 1
1 6 4 600 1
1 6 5 407 1
1 6 5 494 1
1 6 5 505 1
1 6 5 542 1
1 6 5 547 1
1 6 5 436 1
1 6 5 375 0
1 6 5 695 1
1 6 5 555 1
1 6 5 426 1
1 6 5 447 1
1 6 5 439 1
1 6 5 491 1
1 6 5 376 1
1 7 1 669 1
1 7 1 533 1
1 7 1 760 1
1 7 1 718 1
1 7 1 576 1
1 7 1 839 1
1 7 1 679 1
1 7 1 613 1
1 7 1 770 1
1 7 1 681 1
1 7 1 1435 1
1 7 1 582 1
1 7 1 663 1
1 7 1 542 1
1 7 2 707 1
1 7 2 510 1
1 7 2 549 1
1 7 2 780 1
1 7 2 547 1
1 7 2 680 1
1 7 2 561 1
1 7 2 703 1
1 7 2 700 1
1 7 2 531 1
1 7 2 665 1
1 7 2 465 1
1 7 2 511 1
1 7 2 556 0
1 7 3 636 1
1 7 3 848 1
1 7 3 544 1
1 7 3 488 1
1 7 3 623 1
1 7 3 567 1
1 7 3 841 1
1 7 3 950 1
1 7 3 667 1
1 7 3 663 1
1 7 3 640 1
1 7 3 492 1
1 7 3 574 1
1 7 3 931 1
1 7 4 487 1
1 7 4 405 1
1 7 4 534 1
1 7 4 536 1
1 7 4 648 1
1 7 4 617 1
1 7 4 486 1
1 7 4 492 1
1 7 4 688 1
1 7 4 955 1
1 7 4 755 1
1 7 4 590 1
1 7 4 613 0
1 7 4 944 1
1 7 5 475 1
1 7 5 588 1
1 7 5 658 1
1 7 5 869 1
1 7 5 574 1
1 7 5 1496 1
1 7 5 1188 1
1 7 5 775 1
1 7 5 580 1
1 7 5 561 1
1 7 5 553 1
1 7 5 739 1
1 7 5 707 1
1 7 5 501 1
1 8 1 684 1
1 8 1 658 1
1 8 1 653 1
1 8 1 980 0
1 8 1 2964 1
1 8 1 685 1
1 8 1 740 1
1 8 1 912 1
1 8 1 944 1
1 8 1 1072 1
1 8 1 1072 1
1 8 1 573 1
1 8 1 729 1
1 8 1 3392 0
1 8 2 647 1
1 8 2 652 1
1 8 2 1212 1
1 8 2 909 1
1 8 2 644 1
1 8 2 1136 1
1 8 2 590 1
1 8 2 692 1
1 8 2 1546 1
1 8 2 1022 1
1 8 2 1045 0
1 8 2 737 1
1 8 2 644 1
1 8 2 1258 1
1 8 3 1172 1
1 8 3 767 1
1 8 3 608 1
1 8 3 733 1
1 8 3 593 1
1 8 3 1120 1
1 8 3 1434 0
1 8 3 2697 0
1 8 3 685 1
1 8 3 1969 1
1 8 3 922 1
1 8 3 1125 0
1 8 3 560 1
1 8 3 614 1
1 8 4 520 1
1 8 4 2981 0
1 8 4 738 0
1 8 4 815 1
1 8 4 3917 0
1 8 4 1021 0
1 8 4 776 1
1 8 4 673 1
1 8 4 770 1
1 8 4 1744 1
1 8 4 2856 1
1 8 4 577 1
1 8 4 958 1
